name,url,duration,test_type,remote_support,adaptive_support,combined_text
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,0,[],No,No,Entry Level Customer Service 7.1 (South Africa) []
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,0,[],No,No,Entry level Sales 7.1 (Americas) []
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,0,[],No,No,Entry level Sales 7.1 (International) []
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,0,[],No,No,Entry Level Sales Sift Out 7.1 []
Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,0,[],No,No,Event Sales Manager Solution []
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,0,[],No,No,Executive - Short Form []
Financial Professional - Short Form,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,0,[],No,No,Financial Professional - Short Form []
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,0,[],No,No,Financial Services Representative Solution []
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,0,[],No,No,Front Desk Associate Solution []
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,0,[],No,No,Gaming Associate Solution []
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,0,[],No,No,Gaming Manager Solution []
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,0,[],No,No,General Entry Level - All Industries 7.0 Solution []
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,0,[],No,No,General Entry Level - All Industries 7.1 Solution []
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,0,[],No,No,General Entry Level - All Industries 7.1(Americas) []
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,0,[],No,No,General Entry Level – Data Entry 7.0 Solution []
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,0,[],No,No,Graduate + 8.0 Job Focused Assessment []
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,0,[],No,No,Graduate 7.1 Job Focused Assessment []
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,0,[],No,No,Graduate 8.0 Job Focused Assessment []
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,0,[],No,No,Guest Service Team 7.0 Solution []
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,0,[],No,No,Financial Services Representative Solution []
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,0,[],No,No,Front Desk Associate Solution []
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,0,[],No,No,Gaming Associate Solution []
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,0,[],No,No,Gaming Manager Solution []
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,0,[],No,No,General Entry Level - All Industries 7.0 Solution []
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,0,[],No,No,General Entry Level - All Industries 7.1 Solution []
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,0,[],No,No,General Entry Level - All Industries 7.1(Americas) []
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,0,[],No,No,General Entry Level – Data Entry 7.0 Solution []
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,0,[],No,No,Graduate + 8.0 Job Focused Assessment []
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,0,[],No,No,Graduate 7.1 Job Focused Assessment []
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,0,[],No,No,Graduate 8.0 Job Focused Assessment []
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,0,[],No,No,Guest Service Team 7.0 Solution []
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,0,[],No,No,Financial Services Representative Solution []
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,0,[],No,No,Front Desk Associate Solution []
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,0,[],No,No,Gaming Associate Solution []
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,0,[],No,No,Gaming Manager Solution []
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,0,[],No,No,General Entry Level - All Industries 7.0 Solution []
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,0,[],No,No,General Entry Level - All Industries 7.1 Solution []
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,0,[],No,No,General Entry Level - All Industries 7.1(Americas) []
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,0,[],No,No,General Entry Level – Data Entry 7.0 Solution []
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,0,[],No,No,Graduate + 8.0 Job Focused Assessment []
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,0,[],No,No,Graduate 7.1 Job Focused Assessment []
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,0,[],No,No,Graduate 8.0 Job Focused Assessment []
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,0,[],No,No,Guest Service Team 7.0 Solution []
Guest Services Associate Solution,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,0,[],No,No,Guest Services Associate Solution []
Healthcare Aide 7.0 Solution,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,0,[],No,No,Healthcare Aide 7.0 Solution []
Healthcare Call Center Agent Solution,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,0,[],No,No,Healthcare Call Center Agent Solution []
Healthcare Service Associate Solution,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,0,[],No,No,Healthcare Service Associate Solution []
Healthcare Support Specialist Solution,https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,0,[],No,No,Healthcare Support Specialist Solution []
Home Health Aide Solution,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,0,[],No,No,Home Health Aide Solution []
Hospitality Manager Solution,https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,0,[],No,No,Hospitality Manager Solution []
Host Solution,https://www.shl.com/products/product-catalog/view/host-solution/,0,[],No,No,Host Solution []
