name,url,duration,test_type,remote_support,adaptive_support,combined_text
Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,0,[],No,No,Manager 7.1 (International) []
Hospitality Manager Solution,https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,0,[],No,No,Hospitality Manager Solution []
Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,0,[],No,No,Support Associate Solution []
Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,0,[],No,No,Service Supervisor Solution []
Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,0,[],No,No,Workplace Safety - Team 7.1 (International) []
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,0,[],No,No,Entry level Sales 7.1 (International) []
Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,0,[],No,No,Sales Representative Solution []
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,0,[],No,No,Financial Services Representative Solution []
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,0,[],No,No,Workplace Safety - Team 7.1 (Americas) []
Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,0,[],No,No,Sales Support Specialist Solution []
Healthcare Aide 7.0 Solution,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,0,[],No,No,Healthcare Aide 7.0 Solution []
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,0,[],No,No,Gaming Associate Solution []
Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,0,[],No,No,Supervisor - Short Form []
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,0,[],No,No,Entry Level Cashier 7.1 (International) []
Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,0,[],No,No,Manager 8.0+ JFA []
Director - Short Form,https://www.shl.com/products/product-catalog/view/director-short-form/,0,[],No,No,Director - Short Form []
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,0,[],No,No,General Entry Level - All Industries 7.1(Americas) []
Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,0,[],No,No,Store Manager Solution []
Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,0,[],No,No,Sales Professional Solution []
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,0,[],No,No,Entry Level Sales Sift Out 7.1 []
Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,0,[],No,No,Network Engineer/Analyst Solution []
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,0,[],No,No,General Entry Level - All Industries 7.1 Solution []
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,0,[],No,No,Professional 7.1 (International) []
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,0,[],No,No,Industrial - Professional and Skilled 7.0 Solution []
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,0,[],No,No,Graduate 8.0 Job Focused Assessment []
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,0,[],No,No,Professional 7.0 Solution []
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,0,[],No,No,Professional/Individual Contributor - Short Form []
Customer Service with Sales - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/,0,[],No,No,Customer Service with Sales - Short Form []
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,0,[],No,No,Guest Service Team 7.0 Solution []
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,0,[],No,No,Store Manager 7.1 (International) []
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,0,[],No,No,General Entry Level - All Industries 7.0 Solution []
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,0,[],No,No,Industrial Professional and Skilled 7.1 (Americas) []
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,0,[],No,No,Industrial - Entry Level 7.1 (Americas) []
Home Health Aide Solution,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,0,[],No,No,Home Health Aide Solution []
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,0,[],No,No,Graduate + 8.0 Job Focused Assessment []
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,0,[],No,No,"Bookkeeping, Accounting, Auditing Clerk Short Form []"
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,0,[],No,No,Project Manager - Short Form []
Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,0,[],No,No,Technician/Technologist Solution []
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,0,[],No,No,Graduate + 8.0 Job Focused Assessment []
Host Solution,https://www.shl.com/products/product-catalog/view/host-solution/,0,[],No,No,Host Solution []
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,0,[],No,No,Phone Banker - Short Form []
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form/,0,[],No,No,Customer Service - Short Form []
Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,0,[],No,No,Senior Insurance Agent Solution []
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,0,[],No,No,Proof Operator - Processing Specialist -Short Form []
Healthcare Service Associate Solution,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,0,[],No,No,Healthcare Service Associate Solution []
Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,0,[],No,No,Manager 8.0 JFA []
Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,0,[],No,No,Senior Sales Professional Solution []
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,0,[],No,No,Graduate + 8.0 Job Focused Assessment []
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,0,[],No,No,Bank Operations Supervisor - Short Form []
Healthcare Call Center Agent Solution,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,0,[],No,No,Healthcare Call Center Agent Solution []
Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,0,[],No,No,Retail Manager w/ Sales Solution []
